OrganisationID;OrganisationCode;OrganisationName;MetricName;Value;Text
39970;RA201;Royal Surrey County Hospital;30 day survival rate;93.50%;93.50%
39970;RA201;Royal Surrey County Hospital;Arrival time to theatre;87%;of patients arrived within appropriate time, National average 82%
39970;RA201;Royal Surrey County Hospital;Data Quality;81%;of applicable cases included
39970;RA201;Royal Surrey County Hospital;High risk patients transferred to critical care;100%;of high risk patients transferred, National average 87%
39970;RA201;Royal Surrey County Hospital;Number of cases;158;cases
39970;RA201;Royal Surrey County Hospital;Risk recorded before surgery;42%;of patients had risk recorded, National average 75%
39970;RA201;Royal Surrey County Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;94%;of high risk surgeries supervised, National average 83%
39977;RA301;Weston General Hospital;30 day survival rate;88.10%;88.10%
39977;RA301;Weston General Hospital;Arrival time to theatre;91%;of patients arrived within appropriate time, National average 82%
39977;RA301;Weston General Hospital;Data Quality;74%;of applicable cases included
39977;RA301;Weston General Hospital;High risk patients transferred to critical care;90%;of high risk patients transferred, National average 87%
39977;RA301;Weston General Hospital;Number of cases;75;cases
39977;RA301;Weston General Hospital;Risk recorded before surgery;84%;of patients had risk recorded, National average 75%
39977;RA301;Weston General Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;98%;of high risk surgeries supervised, National average 83%
39985;RA430;Yeovil District Hospital;30 day survival rate;96.00%;96.00%
39985;RA430;Yeovil District Hospital;Arrival time to theatre;86%;of patients arrived within appropriate time, National average 82%
39985;RA430;Yeovil District Hospital;Data Quality;95%;of applicable cases included
39985;RA430;Yeovil District Hospital;High risk patients transferred to critical care;83%;of high risk patients transferred, National average 87%
39985;RA430;Yeovil District Hospital;Number of cases;72;cases
39985;RA430;Yeovil District Hospital;Risk recorded before surgery;61%;of patients had risk recorded, National average 75%
39985;RA430;Yeovil District Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;64%;of high risk surgeries supervised, National average 83%
39987;RA701;Bristol Royal Infirmary;30 day survival rate;89.90%;89.90%
39987;RA701;Bristol Royal Infirmary;Arrival time to theatre;83%;of patients arrived within appropriate time, National average 82%
39987;RA701;Bristol Royal Infirmary;Data Quality;89%;of applicable cases included
39987;RA701;Bristol Royal Infirmary;High risk patients transferred to critical care;95%;of high risk patients transferred, National average 87%
39987;RA701;Bristol Royal Infirmary;Number of cases;133;cases
39987;RA701;Bristol Royal Infirmary;Risk recorded before surgery;86%;of patients had risk recorded, National average 75%
39987;RA701;Bristol Royal Infirmary;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;72%;of high risk surgeries supervised, National average 83%
40006;RA901;Torbay Hospital;30 day survival rate;88.90%;88.90%
40006;RA901;Torbay Hospital;Arrival time to theatre;91%;of patients arrived within appropriate time, National average 82%
40006;RA901;Torbay Hospital;Data Quality;100%;of applicable cases included
40006;RA901;Torbay Hospital;High risk patients transferred to critical care;88%;of high risk patients transferred, National average 87%
40006;RA901;Torbay Hospital;Number of cases;177;cases
40006;RA901;Torbay Hospital;Risk recorded before surgery;71%;of patients had risk recorded, National average 75%
40006;RA901;Torbay Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;78%;of high risk surgeries supervised, National average 83%
40058;RAE01;Bradford Royal Infirmary;30 day survival rate;88.20%;88.20%
40058;RAE01;Bradford Royal Infirmary;Arrival time to theatre;87%;of patients arrived within appropriate time, National average 82%
40058;RAE01;Bradford Royal Infirmary;Data Quality;100%;of applicable cases included
40058;RAE01;Bradford Royal Infirmary;High risk patients transferred to critical care;85%;of high risk patients transferred, National average 87%
40058;RAE01;Bradford Royal Infirmary;Number of cases;177;cases
40058;RAE01;Bradford Royal Infirmary;Risk recorded before surgery;72%;of patients had risk recorded, National average 75%
40058;RAE01;Bradford Royal Infirmary;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;90%;of high risk surgeries supervised, National average 83%
40067;RAJ01;Southend Hospital;30 day survival rate;87.20%;87.20%
40067;RAJ01;Southend Hospital;Arrival time to theatre;88%;of patients arrived within appropriate time, National average 82%
40067;RAJ01;Southend Hospital;Data Quality;67%;of applicable cases included
40067;RAJ01;Southend Hospital;High risk patients transferred to critical care;73%;of high risk patients transferred, National average 87%
40067;RAJ01;Southend Hospital;Number of cases;123;cases
40067;RAJ01;Southend Hospital;Risk recorded before surgery;59%;of patients had risk recorded, National average 75%
40067;RAJ01;Southend Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;74%;of high risk surgeries supervised, National average 83%
40073;RAL01;Royal Free Hospital;30 day survival rate;92.70%;92.70%
40073;RAL01;Royal Free Hospital;Arrival time to theatre;70%;of patients arrived within appropriate time, National average 82%
40073;RAL01;Royal Free Hospital;Data Quality;100%;of applicable cases included
40073;RAL01;Royal Free Hospital;High risk patients transferred to critical care;75%;of high risk patients transferred, National average 87%
40073;RAL01;Royal Free Hospital;Number of cases;114;cases
40073;RAL01;Royal Free Hospital;Risk recorded before surgery;88%;of patients had risk recorded, National average 75%
40073;RAL01;Royal Free Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;71%;of high risk surgeries supervised, National average 83%
40091;RAPNM;North Middlesex University Hospital;30 day survival rate;94.30%;94.30%
40091;RAPNM;North Middlesex University Hospital;Arrival time to theatre;74%;of patients arrived within appropriate time, National average 82%
40091;RAPNM;North Middlesex University Hospital;Data Quality;72%;of applicable cases included
40091;RAPNM;North Middlesex University Hospital;High risk patients transferred to critical care;86%;of high risk patients transferred, National average 87%
40091;RAPNM;North Middlesex University Hospital;Number of cases;67;cases
40091;RAPNM;North Middlesex University Hospital;Risk recorded before surgery;27%;of patients had risk recorded, National average 75%
40091;RAPNM;North Middlesex University Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;79%;of high risk surgeries supervised, National average 83%
40095;RAS01;Hillingdon Hospital;30 day survival rate;87.30%;87.30%
40095;RAS01;Hillingdon Hospital;Arrival time to theatre;83%;of patients arrived within appropriate time, National average 82%
40095;RAS01;Hillingdon Hospital;Data Quality;82%;of applicable cases included
40095;RAS01;Hillingdon Hospital;High risk patients transferred to critical care;86%;of high risk patients transferred, National average 87%
40095;RAS01;Hillingdon Hospital;Number of cases;96;cases
40095;RAS01;Hillingdon Hospital;Risk recorded before surgery;39%;of patients had risk recorded, National average 75%
40095;RAS01;Hillingdon Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;60%;of high risk surgeries supervised, National average 83%
40109;RAX01;Kingston Hospital;30 day survival rate;89.80%;89.80%
40109;RAX01;Kingston Hospital;Arrival time to theatre;87%;of patients arrived within appropriate time, National average 82%
40109;RAX01;Kingston Hospital;Data Quality;77%;of applicable cases included
40109;RAX01;Kingston Hospital;High risk patients transferred to critical care;100%;of high risk patients transferred, National average 87%
40109;RAX01;Kingston Hospital;Number of cases;94;cases
40109;RAX01;Kingston Hospital;Risk recorded before surgery;99%;of patients had risk recorded, National average 75%
40109;RAX01;Kingston Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;96%;of high risk surgeries supervised, National average 83%
40115;RBA11;Musgrove Park Hospital;30 day survival rate;89.60%;89.60%
40115;RBA11;Musgrove Park Hospital;Arrival time to theatre;78%;of patients arrived within appropriate time, National average 82%
40115;RBA11;Musgrove Park Hospital;Data Quality;93%;of applicable cases included
40115;RBA11;Musgrove Park Hospital;High risk patients transferred to critical care;92%;of high risk patients transferred, National average 87%
40115;RBA11;Musgrove Park Hospital;Number of cases;158;cases
40115;RBA11;Musgrove Park Hospital;Risk recorded before surgery;83%;of patients had risk recorded, National average 75%
40115;RBA11;Musgrove Park Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;97%;of high risk surgeries supervised, National average 83%
40130;RBD01;Dorset County Hospital;30 day survival rate;98.00%;98.00%
40130;RBD01;Dorset County Hospital;Arrival time to theatre;95%;of patients arrived within appropriate time, National average 82%
40130;RBD01;Dorset County Hospital;Data Quality;93%;of applicable cases included
40130;RBD01;Dorset County Hospital;High risk patients transferred to critical care;95%;of high risk patients transferred, National average 87%
40130;RBD01;Dorset County Hospital;Number of cases;121;cases
40130;RBD01;Dorset County Hospital;Risk recorded before surgery;92%;of patients had risk recorded, National average 75%
40130;RBD01;Dorset County Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;89%;of high risk surgeries supervised, National average 83%
40154;RBK02;Manor Hospital;30 day survival rate;80.40%;80.40%
40154;RBK02;Manor Hospital;Arrival time to theatre;81%;of patients arrived within appropriate time, National average 82%
40154;RBK02;Manor Hospital;Data Quality;69%;of applicable cases included
40154;RBK02;Manor Hospital;High risk patients transferred to critical care;81%;of high risk patients transferred, National average 87%
40154;RBK02;Manor Hospital;Number of cases;127;cases
40154;RBK02;Manor Hospital;Risk recorded before surgery;61%;of patients had risk recorded, National average 75%
40154;RBK02;Manor Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;83%;of high risk surgeries supervised, National average 83%
40163;RBL14;Arrowe Park Hospital;30 day survival rate;92.10%;92.10%
40163;RBL14;Arrowe Park Hospital;Arrival time to theatre;83%;of patients arrived within appropriate time, National average 82%
40163;RBL14;Arrowe Park Hospital;Data Quality;100%;of applicable cases included
40163;RBL14;Arrowe Park Hospital;High risk patients transferred to critical care;84%;of high risk patients transferred, National average 87%
40163;RBL14;Arrowe Park Hospital;Number of cases;197;cases
40163;RBL14;Arrowe Park Hospital;Risk recorded before surgery;78%;of patients had risk recorded, National average 75%
40163;RBL14;Arrowe Park Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;96%;of high risk surgeries supervised, National average 83%
40168;RBN01;Whiston Hospital;30 day survival rate;92.00%;92.00%
40168;RBN01;Whiston Hospital;Arrival time to theatre;80%;of patients arrived within appropriate time, National average 82%
40168;RBN01;Whiston Hospital;Data Quality;91%;of applicable cases included
40168;RBN01;Whiston Hospital;High risk patients transferred to critical care;77%;of high risk patients transferred, National average 87%
40168;RBN01;Whiston Hospital;Number of cases;195;cases
40168;RBN01;Whiston Hospital;Risk recorded before surgery;80%;of patients had risk recorded, National average 75%
40168;RBN01;Whiston Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;71%;of high risk surgeries supervised, National average 83%
40188;RBQHQ;Liverpool Heart and Chest Hospital;30 day survival rate;;
40188;RBQHQ;Liverpool Heart and Chest Hospital;Arrival time to theatre;50%;of patients arrived within appropriate time, National average 82%
40188;RBQHQ;Liverpool Heart and Chest Hospital;Data Quality;50%;of applicable cases included
40188;RBQHQ;Liverpool Heart and Chest Hospital;High risk patients transferred to critical care;100%;of high risk patients transferred, National average 87%
40188;RBQHQ;Liverpool Heart and Chest Hospital;Number of cases;2;cases
40188;RBQHQ;Liverpool Heart and Chest Hospital;Risk recorded before surgery;100%;of patients had risk recorded, National average 75%
40188;RBQHQ;Liverpool Heart and Chest Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;50%;of high risk surgeries supervised, National average 83%
40199;RBT20;Leighton Hospital;30 day survival rate;91.10%;91.10%
40199;RBT20;Leighton Hospital;Arrival time to theatre;87%;of patients arrived within appropriate time, National average 82%
40199;RBT20;Leighton Hospital;Data Quality;86%;of applicable cases included
40199;RBT20;Leighton Hospital;High risk patients transferred to critical care;79%;of high risk patients transferred, National average 87%
40199;RBT20;Leighton Hospital;Number of cases;120;cases
40199;RBT20;Leighton Hospital;Risk recorded before surgery;79%;of patients had risk recorded, National average 75%
40199;RBT20;Leighton Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;82%;of high risk surgeries supervised, National average 83%
40204;RBV01;The Christie main site;30 day survival rate;91.20%;91.20%
40204;RBV01;The Christie main site;Arrival time to theatre;100%;of patients arrived within appropriate time, National average 82%
40204;RBV01;The Christie main site;Data Quality;63%;of applicable cases included
40204;RBV01;The Christie main site;High risk patients transferred to critical care;100%;of high risk patients transferred, National average 87%
40204;RBV01;The Christie main site;Number of cases;15;cases
40204;RBV01;The Christie main site;Risk recorded before surgery;67%;of patients had risk recorded, National average 75%
40204;RBV01;The Christie main site;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;100%;of high risk surgeries supervised, National average 83%
40208;RBZ12;North Devon District Hospital;30 day survival rate;93.60%;93.60%
40208;RBZ12;North Devon District Hospital;Arrival time to theatre;70%;of patients arrived within appropriate time, National average 82%
40208;RBZ12;North Devon District Hospital;Data Quality;63%;of applicable cases included
40208;RBZ12;North Devon District Hospital;High risk patients transferred to critical care;88%;of high risk patients transferred, National average 87%
40208;RBZ12;North Devon District Hospital;Number of cases;59;cases
40208;RBZ12;North Devon District Hospital;Risk recorded before surgery;98%;of patients had risk recorded, National average 75%
40208;RBZ12;North Devon District Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;93%;of high risk surgeries supervised, National average 83%
40227;RC110;Bedford Hospital South Wing;30 day survival rate;87.30%;87.30%
40227;RC110;Bedford Hospital South Wing;Arrival time to theatre;77%;of patients arrived within appropriate time, National average 82%
40227;RC110;Bedford Hospital South Wing;Data Quality;81%;of applicable cases included
40227;RC110;Bedford Hospital South Wing;High risk patients transferred to critical care;77%;of high risk patients transferred, National average 87%
40227;RC110;Bedford Hospital South Wing;Number of cases;79;cases
40227;RC110;Bedford Hospital South Wing;Risk recorded before surgery;99%;of patients had risk recorded, National average 75%
40227;RC110;Bedford Hospital South Wing;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;90%;of high risk surgeries supervised, National average 83%
40233;RC971;Luton and Dunstable Hospital;30 day survival rate;88.50%;88.50%
40233;RC971;Luton and Dunstable Hospital;Arrival time to theatre;75%;of patients arrived within appropriate time, National average 82%
40233;RC971;Luton and Dunstable Hospital;Data Quality;100%;of applicable cases included
40233;RC971;Luton and Dunstable Hospital;High risk patients transferred to critical care;84%;of high risk patients transferred, National average 87%
40233;RC971;Luton and Dunstable Hospital;Number of cases;199;cases
40233;RC971;Luton and Dunstable Hospital;Risk recorded before surgery;41%;of patients had risk recorded, National average 75%
40233;RC971;Luton and Dunstable Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;90%;of high risk surgeries supervised, National average 83%
40238;RCB55;The York Hospital;30 day survival rate;91.00%;91.00%
40238;RCB55;The York Hospital;Arrival time to theatre;93%;of patients arrived within appropriate time, National average 82%
40238;RCB55;The York Hospital;Data Quality;91%;of applicable cases included
40238;RCB55;The York Hospital;High risk patients transferred to critical care;82%;of high risk patients transferred, National average 87%
40238;RCB55;The York Hospital;Number of cases;178;cases
40238;RCB55;The York Hospital;Risk recorded before surgery;81%;of patients had risk recorded, National average 75%
40238;RCB55;The York Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;96%;of high risk surgeries supervised, National average 83%
40261;RCD01;Harrogate District Hospital;30 day survival rate;90.10%;90.10%
40261;RCD01;Harrogate District Hospital;Arrival time to theatre;88%;of patients arrived within appropriate time, National average 82%
40261;RCD01;Harrogate District Hospital;Data Quality;68%;of applicable cases included
40261;RCD01;Harrogate District Hospital;High risk patients transferred to critical care;100%;of high risk patients transferred, National average 87%
40261;RCD01;Harrogate District Hospital;Number of cases;42;cases
40261;RCD01;Harrogate District Hospital;Risk recorded before surgery;90%;of patients had risk recorded, National average 75%
40261;RCD01;Harrogate District Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;96%;of high risk surgeries supervised, National average 83%
40270;RCF22;Airedale General Hospital;30 day survival rate;87.80%;87.80%
40270;RCF22;Airedale General Hospital;Arrival time to theatre;83%;of patients arrived within appropriate time, National average 82%
40270;RCF22;Airedale General Hospital;Data Quality;100%;of applicable cases included
40270;RCF22;Airedale General Hospital;High risk patients transferred to critical care;76%;of high risk patients transferred, National average 87%
40270;RCF22;Airedale General Hospital;Number of cases;100;cases
40270;RCF22;Airedale General Hospital;Risk recorded before surgery;83%;of patients had risk recorded, National average 75%
40270;RCF22;Airedale General Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;83%;of high risk surgeries supervised, National average 83%
40289;RCX70;The Queen Elizabeth Hospital;30 day survival rate;94.60%;94.60%
40289;RCX70;The Queen Elizabeth Hospital;Arrival time to theatre;93%;of patients arrived within appropriate time, National average 82%
40289;RCX70;The Queen Elizabeth Hospital;Data Quality;80%;of applicable cases included
40289;RCX70;The Queen Elizabeth Hospital;High risk patients transferred to critical care;97%;of high risk patients transferred, National average 87%
40289;RCX70;The Queen Elizabeth Hospital;Number of cases;94;cases
40289;RCX70;The Queen Elizabeth Hospital;Risk recorded before surgery;98%;of patients had risk recorded, National average 75%
40289;RCX70;The Queen Elizabeth Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;98%;of high risk surgeries supervised, National average 83%
40304;RD130;Royal United Hospitals, Bath;30 day survival rate;93.60%;93.60%
40304;RD130;Royal United Hospitals, Bath;Arrival time to theatre;88%;of patients arrived within appropriate time, National average 82%
40304;RD130;Royal United Hospitals, Bath;Data Quality;86%;of applicable cases included
40304;RD130;Royal United Hospitals, Bath;High risk patients transferred to critical care;98%;of high risk patients transferred, National average 87%
40304;RD130;Royal United Hospitals, Bath;Number of cases;214;cases
40304;RD130;Royal United Hospitals, Bath;Risk recorded before surgery;87%;of patients had risk recorded, National average 75%
40304;RD130;Royal United Hospitals, Bath;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;71%;of high risk surgeries supervised, National average 83%
40330;RD816;Milton Keynes Hospital;30 day survival rate;87.90%;87.90%
40330;RD816;Milton Keynes Hospital;Arrival time to theatre;82%;of patients arrived within appropriate time, National average 82%
40330;RD816;Milton Keynes Hospital;Data Quality;63%;of applicable cases included
40330;RD816;Milton Keynes Hospital;High risk patients transferred to critical care;71%;of high risk patients transferred, National average 87%
40330;RD816;Milton Keynes Hospital;Number of cases;92;cases
40330;RD816;Milton Keynes Hospital;Risk recorded before surgery;83%;of patients had risk recorded, National average 75%
40330;RD816;Milton Keynes Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;64%;of high risk surgeries supervised, National average 83%
40337;RDDH0;Basildon University Hospital;30 day survival rate;90.50%;90.50%
40337;RDDH0;Basildon University Hospital;Arrival time to theatre;86%;of patients arrived within appropriate time, National average 82%
40337;RDDH0;Basildon University Hospital;Data Quality;81%;of applicable cases included
40337;RDDH0;Basildon University Hospital;High risk patients transferred to critical care;73%;of high risk patients transferred, National average 87%
40337;RDDH0;Basildon University Hospital;Number of cases;129;cases
40337;RDDH0;Basildon University Hospital;Risk recorded before surgery;71%;of patients had risk recorded, National average 75%
40337;RDDH0;Basildon University Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;91%;of high risk surgeries supervised, National average 83%
40342;RDEE4;Colchester General Hospital;30 day survival rate;87.80%;87.80%
40342;RDEE4;Colchester General Hospital;Arrival time to theatre;83%;of patients arrived within appropriate time, National average 82%
40342;RDEE4;Colchester General Hospital;Data Quality;98%;of applicable cases included
40342;RDEE4;Colchester General Hospital;High risk patients transferred to critical care;89%;of high risk patients transferred, National average 87%
40342;RDEE4;Colchester General Hospital;Number of cases;158;cases
40342;RDEE4;Colchester General Hospital;Risk recorded before surgery;91%;of patients had risk recorded, National average 75%
40342;RDEE4;Colchester General Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;95%;of high risk surgeries supervised, National average 83%
40395;RDU01;Frimley Park Hospital;30 day survival rate;94.90%;94.90%
40395;RDU01;Frimley Park Hospital;Arrival time to theatre;83%;of patients arrived within appropriate time, National average 82%
40395;RDU01;Frimley Park Hospital;Data Quality;100%;of applicable cases included
40395;RDU01;Frimley Park Hospital;High risk patients transferred to critical care;88%;of high risk patients transferred, National average 87%
40395;RDU01;Frimley Park Hospital;Number of cases;212;cases
40395;RDU01;Frimley Park Hospital;Risk recorded before surgery;87%;of patients had risk recorded, National average 75%
40395;RDU01;Frimley Park Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;92%;of high risk surgeries supervised, National average 83%
40451;RDZ20;Royal Bournemouth Hospital;30 day survival rate;94.30%;94.30%
40451;RDZ20;Royal Bournemouth Hospital;Arrival time to theatre;83%;of patients arrived within appropriate time, National average 82%
40451;RDZ20;Royal Bournemouth Hospital;Data Quality;100%;of applicable cases included
40451;RDZ20;Royal Bournemouth Hospital;High risk patients transferred to critical care;96%;of high risk patients transferred, National average 87%
40451;RDZ20;Royal Bournemouth Hospital;Number of cases;173;cases
40451;RDZ20;Royal Bournemouth Hospital;Risk recorded before surgery;76%;of patients had risk recorded, National average 75%
40451;RDZ20;Royal Bournemouth Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;73%;of high risk surgeries supervised, National average 83%
40466;RE9GA;South Tyneside District Hospital;30 day survival rate;87.10%;87.10%
40466;RE9GA;South Tyneside District Hospital;Arrival time to theatre;92%;of patients arrived within appropriate time, National average 82%
40466;RE9GA;South Tyneside District Hospital;Data Quality;100%;of applicable cases included
40466;RE9GA;South Tyneside District Hospital;High risk patients transferred to critical care;92%;of high risk patients transferred, National average 87%
40466;RE9GA;South Tyneside District Hospital;Number of cases;77;cases
40466;RE9GA;South Tyneside District Hospital;Risk recorded before surgery;77%;of patients had risk recorded, National average 75%
40466;RE9GA;South Tyneside District Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;92%;of high risk surgeries supervised, National average 83%
40472;REF12;Royal Cornwall Hospital (Treliske);30 day survival rate;94.90%;94.90%
40472;REF12;Royal Cornwall Hospital (Treliske);Arrival time to theatre;88%;of patients arrived within appropriate time, National average 82%
40472;REF12;Royal Cornwall Hospital (Treliske);Data Quality;79%;of applicable cases included
40472;REF12;Royal Cornwall Hospital (Treliske);High risk patients transferred to critical care;54%;of high risk patients transferred, National average 87%
40472;REF12;Royal Cornwall Hospital (Treliske);Number of cases;222;cases
40472;REF12;Royal Cornwall Hospital (Treliske);Risk recorded before surgery;58%;of patients had risk recorded, National average 75%
40472;REF12;Royal Cornwall Hospital (Treliske);Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;89%;of high risk surgeries supervised, National average 83%
40481;REM21;Aintree University Hospital;30 day survival rate;90.50%;90.50%
40481;REM21;Aintree University Hospital;Arrival time to theatre;80%;of patients arrived within appropriate time, National average 82%
40481;REM21;Aintree University Hospital;Data Quality;80%;of applicable cases included
40481;REM21;Aintree University Hospital;High risk patients transferred to critical care;76%;of high risk patients transferred, National average 87%
40481;REM21;Aintree University Hospital;Number of cases;180;cases
40481;REM21;Aintree University Hospital;Risk recorded before surgery;71%;of patients had risk recorded, National average 75%
40481;REM21;Aintree University Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;66%;of high risk surgeries supervised, National average 83%
40560;RET20;The Walton Centre ;30 day survival rate;;
40560;RET20;The Walton Centre ;Arrival time to theatre;0%;of patients arrived within appropriate time, National average 82%
40560;RET20;The Walton Centre ;Data Quality;100%;of applicable cases included
40560;RET20;The Walton Centre ;High risk patients transferred to critical care;100%;of high risk patients transferred, National average 87%
40560;RET20;The Walton Centre ;Number of cases;1;cases
40560;RET20;The Walton Centre ;Risk recorded before surgery;0%;of patients had risk recorded, National average 75%
40560;RET20;The Walton Centre ;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;100%;of high risk surgeries supervised, National average 83%
40563;RF4DG;King George Hospital;30 day survival rate;89.90%;89.90%
40563;RF4DG;King George Hospital;Arrival time to theatre;93%;of patients arrived within appropriate time, National average 82%
40563;RF4DG;King George Hospital;Data Quality;91%;of applicable cases included
40563;RF4DG;King George Hospital;High risk patients transferred to critical care;87%;of high risk patients transferred, National average 87%
40563;RF4DG;King George Hospital;Number of cases;83;cases
40563;RF4DG;King George Hospital;Risk recorded before surgery;28%;of patients had risk recorded, National average 75%
40563;RF4DG;King George Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;67%;of high risk surgeries supervised, National average 83%
40568;RF4QH;Queen's Hospital;30 day survival rate;89.10%;89.10%
40568;RF4QH;Queen's Hospital;Arrival time to theatre;92%;of patients arrived within appropriate time, National average 82%
40568;RF4QH;Queen's Hospital;Data Quality;82%;of applicable cases included
40568;RF4QH;Queen's Hospital;High risk patients transferred to critical care;94%;of high risk patients transferred, National average 87%
40568;RF4QH;Queen's Hospital;Number of cases;168;cases
40568;RF4QH;Queen's Hospital;Risk recorded before surgery;35%;of patients had risk recorded, National average 75%
40568;RF4QH;Queen's Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;79%;of high risk surgeries supervised, National average 83%
40570;RFFAA;Barnsley Hospital;30 day survival rate;84.50%;84.50%
40570;RFFAA;Barnsley Hospital;Arrival time to theatre;81%;of patients arrived within appropriate time, National average 82%
40570;RFFAA;Barnsley Hospital;Data Quality;100%;of applicable cases included
40570;RFFAA;Barnsley Hospital;High risk patients transferred to critical care;94%;of high risk patients transferred, National average 87%
40570;RFFAA;Barnsley Hospital;Number of cases;130;cases
40570;RFFAA;Barnsley Hospital;Risk recorded before surgery;70%;of patients had risk recorded, National average 75%
40570;RFFAA;Barnsley Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;87%;of high risk surgeries supervised, National average 83%
40573;RFRPA;Rotherham Hospital;30 day survival rate;85.50%;85.50%
40573;RFRPA;Rotherham Hospital;Arrival time to theatre;84%;of patients arrived within appropriate time, National average 82%
40573;RFRPA;Rotherham Hospital;Data Quality;58%;of applicable cases included
40573;RFRPA;Rotherham Hospital;High risk patients transferred to critical care;93%;of high risk patients transferred, National average 87%
40573;RFRPA;Rotherham Hospital;Number of cases;64;cases
40573;RFRPA;Rotherham Hospital;Risk recorded before surgery;86%;of patients had risk recorded, National average 75%
40573;RFRPA;Rotherham Hospital;Supervision of high risk surgery by consultant surgeon and consultant anaesthetist;87%;of high risk surgeries supervised, National average 83%
